Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Backpack,Accessories,33,Nebraska,M,Orange,Fall,3.8,No,Next Day Air,Yes,Yes,31,Bank Transfer,Quarterly
2,28,Female,Boots,Footwear,23,New Mexico,M,Beige,Winter,4.5,Yes,Free Shipping,Yes,Yes,18,PayPal,Weekly
3,23,Female,Scarf,Accessories,92,New York,S,Magenta,Summer,4.6,No,Standard,No,No,18,Cash,Weekly
4,43,Male,Hat,Accessories,28,Louisiana,M,Gold,Spring,2.6,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
5,49,Male,Pants,Clothing,31,Arkansas,L,Yellow,Spring,2.7,No,2-Day Shipping,No,No,50,Bank Transfer,Quarterly
6,34,Female,Gloves,Accessories,74,Arizona,L,Beige,Fall,4.1,No,Free Shipping,No,No,36,Venmo,Bi-Weekly
7,22,Male,Coat,Outerwear,61,Illinois,S,Red,Fall,3.0,No,Free Shipping,Yes,Yes,33,Credit Card,Every 3 Months
8,53,Female,Handbag,Accessories,43,Idaho,L,Black,Winter,4.8,No,Store Pickup,No,No,3,Debit Card,Fortnightly
9,35,Female,Backpack,Accessories,23,South Dakota,L,Turquoise,Fall,3.4,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,Quarterly
10,59,Male,Shoes,Footwear,40,California,S,Gray,Summer,4.0,Yes,Express,No,No,42,Cash,Every 3 Months
11,58,Male,Sweater,Clothing,31,Illinois,M,Black,Spring,3.0,No,Standard,No,No,11,Credit Card,Monthly
12,45,Male,Dress,Clothing,87,Wyoming,L,Yellow,Fall,3.0,No,Free Shipping,Yes,Yes,36,Venmo,Quarterly
13,50,Male,Shoes,Footwear,33,Nebraska,L,Olive,Fall,3.0,No,Standard,No,No,30,Debit Card,Every 3 Months
14,44,Male,Coat,Outerwear,30,Hawaii,M,Orange,Summer,3.4,No,Express,No,No,42,PayPal,Every 3 Months
15,31,Male,Sweater,Clothing,78,Alaska,M,Magenta,Fall,3.5,Yes,Store Pickup,No,No,18,Cash,Weekly
16,25,Male,T-shirt,Clothing,36,Florida,M,Charcoal,Fall,3.3,Yes,Next Day Air,No,No,36,Venmo,Monthly
17,34,Female,Skirt,Clothing,97,Montana,M,Magenta,Spring,4.2,Yes,Store Pickup,No,No,11,Debit Card,Annually
18,67,Female,Handbag,Accessories,66,Ohio,S,Gray,Fall,4.2,No,2-Day Shipping,No,No,5,Bank Transfer,Annually
19,32,Male,Sweater,Clothing,90,South Dakota,M,Cyan,Summer,3.2,No,Free Shipping,Yes,Yes,37,Bank Transfer,Bi-Weekly
20,47,Female,Scarf,Accessories,29,Georgia,S,Maroon,Summer,2.6,No,Next Day Air,No,No,14,Credit Card,Fortnightly
21,31,Male,Belt,Accessories,29,Missouri,M,Brown,Summer,3.1,No,Express,Yes,Yes,1,Debit Card,Every 3 Months
22,30,Male,Shirt,Clothing,96,Texas,M,Black,Spring,4.9,No,Express,No,No,38,Credit Card,Every 3 Months
23,46,Male,Sandals,Footwear,77,Kentucky,M,Gold,Spring,3.1,No,Express,No,No,19,Credit Card,Quarterly
24,31,Male,Socks,Clothing,95,Delaware,XL,Indigo,Spring,4.9,Yes,Store Pickup,No,No,32,Cash,Quarterly
25,27,Male,Backpack,Accessories,20,Georgia,M,Olive,Spring,4.4,No,Express,No,No,26,Bank Transfer,Quarterly
26,55,Male,Hoodie,Clothing,76,Iowa,S,Maroon,Summer,2.6,Yes,Next Day Air,No,No,22,PayPal,Fortnightly
27,48,Male,Shirt,Clothing,46,Montana,L,Olive,Fall,2.7,No,2-Day Shipping,Yes,Yes,25,Venmo,Every 3 Months
28,21,Female,Jeans,Clothing,29,North Carolina,M,Olive,Summer,4.1,No,2-Day Shipping,Yes,Yes,37,Cash,Monthly
29,20,Male,Sweater,Clothing,67,Idaho,M,Indigo,Fall,3.1,No,Next Day Air,No,No,29,PayPal,Fortnightly
30,60,Male,Sweater,Clothing,51,Utah,M,Charcoal,Spring,3.6,No,Free Shipping,No,No,33,Venmo,Every 3 Months
31,32,Male,Skirt,Clothing,65,Michigan,L,Lavender,Fall,2.6,No,2-Day Shipping,No,No,36,PayPal,Bi-Weekly
32,32,Male,Blouse,Clothing,29,Oklahoma,L,Maroon,Winter,2.8,Yes,Standard,Yes,Yes,2,Venmo,Monthly
33,28,Male,Dress,Clothing,23,Arizona,M,Red,Summer,,Yes,Next Day Air,Yes,Yes,45,Cash,Annually
34,67,Male,Sweater,Clothing,92,South Carolina,S,Green,Winter,3.9,No,Free Shipping,Yes,Yes,32,Credit Card,Bi-Weekly
35,47,Female,Belt,Accessories,76,Michigan,S,Orange,Summer,2.9,No,Free Shipping,Yes,Yes,31,Venmo,Annually
36,41,Male,Jacket,Outerwear,96,South Carolina,L,Red,Winter,4.2,Yes,2-Day Shipping,Yes,Yes,6,Cash,Weekly
37,25,Male,Hoodie,Clothing,49,Massachusetts,S,Gold,Summer,4.0,No,2-Day Shipping,No,No,5,Cash,Fortnightly
38,53,Male,Boots,Footwear,32,Washington,M,Orange,Summer,5.0,No,Standard,No,No,50,Debit Card,Annually
39,19,Female,Belt,Accessories,83,Utah,M,Black,Summer,3.4,No,Store Pickup,No,No,42,Credit Card,Fortnightly
